,lsoa,lat,lon
506,E01000507,51.55453,-0.23479
507,E01000508,51.54881,-0.24784
508,E01000509,51.56195,-0.24997
509,E01000510,51.55954,-0.24741
510,E01000511,51.55663,-0.24614
511,E01000512,51.55412,-0.24094
512,E01000513,51.58461,-0.25278
513,E01000514,51.58541,-0.25851
514,E01000515,51.58405,-0.26888
515,E01000516,51.58844,-0.25616
516,E01000517,51.58265,-0.27693
517,E01000518,51.58038,-0.26103
518,E01000519,51.57696,-0.26969
519,E01000520,51.58736,-0.26431
520,E01000521,51.54059,-0.25407
521,E01000522,51.5421,-0.2453
522,E01000523,51.53974,-0.24871
523,E01000524,51.5372,-0.25082
524,E01000525,51.53501,-0.25216
525,E01000526,51.5467,-0.25165
526,E01000527,51.54356,-0.24945
527,E01000528,51.54407,-0.25349
528,E01000529,51.53412,-0.24408
529,E01000530,51.5352,-0.23113
530,E01000531,51.53283,-0.22981
531,E01000532,51.53149,-0.22685
532,E01000533,51.53806,-0.24255
533,E01000534,51.53673,-0.23577
534,E01000535,51.5343,-0.23846
535,E01000536,51.58217,-0.31034
536,E01000537,51.58199,-0.28982
537,E01000538,51.581,-0.301
538,E01000539,51.57728,-0.29632
539,E01000540,51.57755,-0.30648
540,E01000541,51.58562,-0.30322
541,E01000542,51.58466,-0.29352
542,E01000543,51.58368,-0.28573
543,E01000544,51.52986,-0.19702
544,E01000545,51.54315,-0.20169
545,E01000546,51.54181,-0.20369
546,E01000547,51.53985,-0.20074
547,E01000548,51.53875,-0.19634
548,E01000549,51.53725,-0.19954
549,E01000550,51.53513,-0.19444
550,E01000551,51.53356,-0.19973
551,E01000552,51.53181,-0.19574
552,E01000553,51.55826,-0.22011
553,E01000554,51.55843,-0.22576
554,E01000555,51.55514,-0.22492
555,E01000556,51.55526,-0.21564
556,E01000557,51.55419,-0.21848
557,E01000558,51.55151,-0.21232
558,E01000559,51.55142,-0.2216
559,E01000560,51.54989,-0.21602
560,E01000561,51.5485,-0.20761
561,E01000562,51.56536,-0.32569
562,E01000563,51.56755,-0.31939
563,E01000564,51.5623,-0.308
564,E01000565,51.56251,-0.31915
565,E01000566,51.56601,-0.3104
566,E01000567,51.56043,-0.32517
567,E01000568,51.57632,-0.31874
568,E01000569,51.57024,-0.31296
569,E01000570,51.56025,-0.29995
570,E01000571,51.55946,-0.29491
571,E01000572,51.57443,-0.30791
572,E01000573,51.57162,-0.29965
573,E01000574,51.57004,-0.30429
574,E01000575,51.56807,-0.29569
575,E01000576,51.56626,-0.29087
576,E01000577,51.56492,-0.30135
577,E01000578,51.56338,-0.28674
578,E01000579,51.53056,-0.22044
579,E01000580,51.53787,-0.20824
580,E01000581,51.5368,-0.21872
581,E01000582,51.53462,-0.21441
582,E01000583,51.53487,-0.20457
583,E01000584,51.53515,-0.22361
584,E01000585,51.53262,-0.22261
585,E01000586,51.53161,-0.21668
586,E01000587,51.59432,-0.26978
587,E01000588,51.59256,-0.26257
588,E01000589,51.59087,-0.27984
589,E01000590,51.59048,-0.26899
