id,name,host_id,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,review_scores_rating,,,,,,,,,,
2378558,A wonderful South facing home,12150697,53.39138,-2.3147,t,House,Private room,2,2,1,2,Real Bed,$39.00 ,$240.00 ,$700.00 ,$0.00 ,$5.00 ,1,$5.00 ,98,,,,,,,,,,
2416749,Abbotsfield3 Short Term Accomm.for Large Group,4949917,53.50693,-2.23691,t,House,Entire home/apt,12,2.5,4,10,Real Bed,$201.00 ,,,$400.00 ,$60.00 ,4,$30.00 ,73,,,,,,,,,,
2438707,Luxurious 1-bedroom apartment,478861,53.41103,-2.19138,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$75.00 ,$400.00 ,"$1,250.00 ",$0.00 ,$0.00 ,1,$0.00 ,100,,,,,,,,,,
2450951,"Stretford, Trafford, Large 1 Bed Garden Apartment",12532497,53.44564,-2.32556,t,Guest suite,Entire home/apt,5,1,1,1,Real Bed,$75.00 ,$430.00 ,"$1,295.00 ",$500.00 ,$22.00 ,2,$15.00 ,99,,,,,,,,,,
2541474,Ironman UK 2019 available space for extra guests!,13014357,53.53477,-2.55487,t,House,Private room,1,1.5,4,1,Real Bed,$40.00 ,,,$0.00 ,$10.00 ,1,$10.00 ,100,,,,,,,,,,
2564191,Ground Floor Double nr City centre,1821587,53.45661,-2.23718,t,Townhouse,Private room,2,2.5,1,1,Real Bed,$30.00 ,$200.00 ,$600.00 ,$100.00 ,$20.00 ,1,$15.00 ,87,,,,,,,,,,
2613909,"Comfy family home, Mosely Rd, Close to Swamy",3962880,53.43548,-2.19866,t,Townhouse,Private room,2,1.5,1,1,Real Bed,$30.00 ,,,$0.00 ,$5.00 ,1,$10.00 ,90,,,,,,,,,,
2775011,Double Room Heaton Moor,14192192,53.41468,-2.19074,t,House,Private room,2,1,1,1,Real Bed,$24.00 ,$125.00 ,$450.00 ,,,1,$15.00 ,98,,,,,,,,,,
2824525,"Manchester Centre, close but quiet!",14449268,53.48773,-2.23356,t,Apartment,Private room,2,2,1,1,Real Bed,$42.00 ,$290.00 ,"$1,000.00 ",,,1,$10.00 ,98,,,,,,,,,,
2997451,Superb Flat in Victorian Home in Didsbury Village,8976104,53.41864,-2.22666,t,House,Entire home/apt,3,1,1,2,Real Bed,$62.00 ,$409.00 ,"$1,066.00 ",$0.00 ,$44.00 ,2,$22.00 ,85,,,,,,,,,,
3042441,Double room close to the university,2523846,53.45061,-2.22837,t,House,Private room,1,1,1,2,Real Bed,$500.00 ,$250.00 ,$378.00 ,$100.00 ,,1,$0.00 ,80,,,,,,,,,,
3084464,Loft Convertion Apartment,10663450,53.4787,-2.23849,t,Loft,Entire home/apt,4,1,2,0,Real Bed,$64.00 ,$475.00 ,"$1,399.00 ",$70.00 ,,2,$79.00 ,82,,,,,,,,,,
3114612,Private attic room with ensuite,15824000,53.45326,-2.3042,t,House,Private room,2,1,1,1,Real Bed,$44.00 ,$300.00 ,$950.00 ,,,1,$0.00 ,98,,,,,,,,,,
3128610,Spacious 2bed - Fast WiFi & Parking,15885340,53.48308,-2.22863,f,Apartment,Entire home/apt,4,1,2,2,Real Bed,$87.00 ,$553.00 ,"$1,953.00 ",$300.00 ,$0.00 ,2,$0.00 ,98,,,,,,,,,,
3138325,Light & Secure Modern Space,15302873,53.48215,-2.22094,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,$40.00 ,$201.00 ,$803.00 ,$200.00 ,$25.00 ,2,$15.00 ,94,,,,,,,,,,
3207253,beautiful city hotel apartment,14813407,53.48442,-2.25363,f,Apartment,Entire home/apt,5,2,2,2,Real Bed,$75.00 ,$400.00 ,"$1,500.00 ",$100.00 ,,1,$0.00 ,,,,,,,,,,,
3321663,Bright Double Room near University,2719228,53.45674,-2.21499,t,House,Private room,2,1,1,1,Real Bed,$27.00 ,,,$130.00 ,$5.00 ,1,$22.00 ,92,,,,,,,,,,
3348140,Manchester,16895402,53.56677,-2.31665,f,House,Private room,1,1,1,1,Real Bed,$18.00 ,$110.00 ,,,,1,$10.00 ,60,,,,,,,,,,
3407964,ROOF TERRACE DBL City Centre Universities MRI,3421578,53.45915,-2.2153,t,House,Private room,2,1,1,1,Real Bed,$12.00 ,$224.00 ,,$200.00 ,$30.00 ,1,$15.00 ,93,,,,,,,,,,
3411515,Large double bedroom in boho house,17200881,53.44357,-2.31199,t,House,Private room,1,1,1,1,Real Bed,$15.00 ,$150.00 ,$450.00 ,,,1,$0.00 ,,,,,,,,,,,
