,Unnamed: 0,beds,bed_type,bed_score,rating,price,Latitude,Longitude,name,host_id,crime,bus,room,total
178,178,1,Real Bed,1,99,94.64285714,53.39333,-2.28747,AIRPORT & WYTHENSHAWE  HOSPITAL ( Double room ),64402918,43.8906891,100,100,248.2446464
179,179,1,Real Bed,1,100,94.3877551,53.48959,-2.29778,Large comfy room in family house,3372248,74.32156688,100,100,220.0661882
180,180,1,Real Bed,1,97,94.3877551,53.44447,-2.19686,Lovely double room in Levenshulme,65032749,124.0643479,86.83960425,100,152.4481211
181,181,1,Real Bed,1,99,96.93877551,53.53964,-2.29151,"Quiet,cosy,friendly house,nxt to tram. Bkfast inc",21131940,32.77171453,86.5703039,100,248.2299912
182,182,1,Real Bed,1,94,91.32653061,53.47625,-2.23218,Balcony Private Bedroom in Piccadilly,54585852,290.2637573,100,100,0.999006946
183,183,1,Real Bed,1,96,93.1122449,53.47551,-2.17007,Large & Cosy Double Room for Two!,9055824,169.1254553,34.86006356,100,56.49297899
184,184,1,Real Bed,1,97,96.93877551,53.48119,-2.15443,Value Double Room Near Ethiad Stadium,63018594,29.84566859,76.43038999,100,236.217792
185,185,1,Real Bed,1,92,93.1122449,53.46151,-2.24901,A peaceful space in the City,62311301,136.3537408,74.26379966,100,120.5405194
186,186,1,Real Bed,1,97,88.01020408,53.49191,-2.24075,"Modern, clean double room in city centre",66809593,180.2444299,100,100,104.5328009
187,187,1,Real Bed,1,87,93.1122449,53.47138,-2.26466,Private room with en suite Manchester City Centre,50851296,112.9453733,100,100,156.7451783
188,188,1,Real Bed,1,92,94.89795918,53.4665,-2.24873,"Feel at Home Double! Hulme, Manchester!",67168477,136.3537408,100,100,145.8606809
189,189,1,Real Bed,1,100,90.56122449,53.41629,-2.30882,Bed & Balcony,32954691,18.72669402,100,100,271.8345305
190,190,1,Real Bed,1,97,97.19387755,53.48947,-2.20879,Unique Loft Bed. Only 5 Mins from Piccadilly!,35311832,69.63989338,78.88587891,100,200.2466672
191,191,1,Real Bed,1,99,95.66326531,53.40349,-2.18011,Single room near Stockport train st,62939817,39.79422479,51.73087337,100,205.5239148
192,192,1,Real Bed,1,100,97.70408163,53.50973,-2.16385,Bright & clean room in Manchester.,8571569,46.23152585,100,100,251.4725558
193,193,1,Real Bed,1,95,94.89795918,53.42997,-2.2371,Huge Kingsize Bedroom in Fashionable West Didsbury,6974604,46.23152585,100,100,236.2331117
194,194,1,Real Bed,1,97,92.34693878,53.45002,-2.22632,Brand New Refurbished House,69416014,161.5177359,100,100,126.9043268
