,beds,bed_type,bed_score,rating,price,latitude,longtitude,name,host_id
136,1.0,Real Bed,1.0,95.0,22.00,53.46495,-2.19067,Back Double Room,46539947
137,1.0,Real Bed,1.0,100.0,35.00,53.42541,-2.18242,"2. Quick, easy access to Manchester and Stockport",46931442
138,1.0,Real Bed,1.0,100.0,40.00,53.37214,-2.36167,Alex & Xanthe welcome you to Bowdon,50183230
139,1.0,Real Bed,1.0,97.0,30.00,53.42091,-2.31752,Quiet room in large Victorian house,8606708
140,1.0,Real Bed,1.0,98.0,26.00,53.43244,-2.2749,Calm haven in popular Chorlton. Welcome!,51060582
141,1.0,Real Bed,1.0,98.0,30.00,53.3967,-2.2027200000000002,Charming cosy double near mcr airport with WiFi,26729286
142,1.0,Real Bed,1.0,89.0,25.00,53.42946,-2.31846,"Private, single bed room",52940928
143,1.0,Real Bed,1.0,98.0,17.00,53.458119999999994,-2.1499,Friendly welcome to new travellers: Free breakfast,31957937
144,1.0,Real Bed,1.0,94.0,21.00,53.444680000000005,-2.21906,** Spacious Room in Great Location **,36058935
145,1.0,Airbed,0.8,100.0,40.00,53.488659999999996,-2.25481,Comfortable and clean,54101692
146,1.0,Real Bed,1.0,87.0,29.00,53.46399,-2.25928,Spacious double-bed terraced house,14717696
147,1.0,Real Bed,1.0,93.0,60.00,53.45044,-2.2353,Beautiful double room,38458938
148,1.0,Real Bed,1.0,99.0,33.00,53.409459999999996,-2.2742299999999998,"Private Studio, Cosy with ensuite, £30 - £35",54622533
149,1.0,Real Bed,1.0,99.0,43.00,53.4765,-2.20787,Lovely room near to the city center,12053688
150,1.0,Real Bed,1.0,97.0,30.00,53.4883,-2.2219,Ensuite bedroom close to city centre,42736641
151,1.0,Real Bed,1.0,96.0,30.00,53.47237,-2.29832,MediacityUK Nice Double Ensuit,55441661
152,1.0,Real Bed,1.0,97.0,40.00,53.48365,-2.2208,Newly furnished double room. Great Location!,27035856
153,1.0,Real Bed,1.0,97.0,27.00,53.49737,-2.26264,Double Room With Private Bathroom,13944958
154,1.0,Real Bed,1.0,100.0,43.00,53.62099,-2.1133599999999997,room for rent,57365691
155,1.0,Real Bed,1.0,100.0,31.00,53.41712,-2.2482900000000003,Double room in Didsbury,56723992
156,1.0,Real Bed,1.0,92.0,20.00,53.442919999999994,-2.19897,"Bright, cosy double room 15 mins from city centre",57717265
157,1.0,Real Bed,1.0,100.0,71.00,53.49146999999999,-2.27363,Room near Salford University,57765823
158,1.0,Real Bed,1.0,95.0,13.00,53.44611,-2.23106,Cozy Single Bedroom - GREAT HOST,42675068
159,1.0,Real Bed,1.0,98.0,39.00,53.481869999999994,-2.2420400000000003,Manchester 1.Room with Sep bathroom,38811145
160,1.0,Real Bed,1.0,93.0,25.00,53.52069,-2.22202,Double room with afternoon sun,38822806
161,1.0,Real Bed,1.0,97.0,15.00,53.52795,-2.1496299999999997,Single room in the quiet house,2414551
162,1.0,Real Bed,1.0,98.0,40.00,53.478469999999994,-2.20553,"Cosy Double, Parking, near Etihad and City Centre!",31203789
163,1.0,Real Bed,1.0,88.0,62.00,53.48031999999999,-2.2176400000000003,Private room in shared flat near Piccadilly,58884848
164,1.0,Real Bed,1.0,96.0,35.00,53.449180000000005,-2.2831599999999996,"Bright, airy double bedroom in leafy Chorlton",25352335
165,1.0,Real Bed,1.0,90.0,194.00,53.455909999999996,-2.21317,Lovely Double Room in Birchfields Guest House,10888912
166,1.0,Real Bed,1.0,99.0,35.00,53.42415,-2.23925,"Sunny, leafy room near bus and tram",60580846
167,1.0,Real Bed,1.0,95.0,25.00,53.48621,-2.34206,Great double close to Manchester 200Mb WIFI,13194180
168,1.0,Real Bed,1.0,98.0,25.00,53.48594,-2.34117,Beautiful double in fantastic house 200Mb WIFI,13194180
169,1.0,Real Bed,1.0,88.0,266.00,53.455909999999996,-2.21317,Triple room in Birchfields Guest House,10888912
170,1.0,Real Bed,1.0,92.0,30.00,53.47492,-2.2384,Spacious Ensuite Room in City Centre Apartment,61393096
171,1.0,Real Bed,1.0,100.0,30.00,53.59186999999999,-2.52495,Diane Westwell,61910408
172,1.0,Real Bed,1.0,99.0,12.00,53.44951,-2.18813,"Manchester, garden view room.",62054430
173,1.0,Real Bed,1.0,92.0,44.00,53.47784,-2.20955,Near Picadilly and Etihad Stadium,11837380
174,1.0,Real Bed,1.0,94.0,12.00,53.44611,-2.23106,Cozy Space in LIVING ROOM -  GREAT HOST,42675068
175,1.0,Real Bed,1.0,89.0,53.00,53.47841999999999,-2.20608,Sunny room near to city center,12053688
176,1.0,Real Bed,1.0,88.0,35.00,53.48104,-2.15403,Room1 in Manchester/Airport pickup,63018594
177,1.0,Real Bed,1.0,97.0,20.00,53.49572,-2.07518,Cosy single room close to Tameside hospital,64201477
178,1.0,Real Bed,1.0,99.0,29.00,53.393330000000006,-2.28747,AIRPORT & WYTHENSHAWE  HOSPITAL ( Double room ),64402918
179,1.0,Real Bed,1.0,100.0,30.00,53.48959,-2.29778,Large comfy room in family house,3372248
180,1.0,Real Bed,1.0,97.0,30.00,53.444469999999995,-2.19686,Lovely double room in Levenshulme,65032749
181,1.0,Real Bed,1.0,99.0,20.00,53.539640000000006,-2.2915099999999997,"Quiet,cosy,friendly house,nxt to tram. Bkfast inc",21131940
182,1.0,Real Bed,1.0,94.0,42.00,53.47625,-2.23218,Balcony Private Bedroom in Piccadilly,54585852
183,1.0,Real Bed,1.0,96.0,35.00,53.47551,-2.17007,Large & Cosy Double Room for Two!,9055824
184,1.0,Real Bed,1.0,97.0,20.00,53.481190000000005,-2.15443,Value Double Room Near Ethiad Stadium,63018594
185,1.0,Real Bed,1.0,92.0,35.00,53.46151,-2.2490099999999997,A peaceful space in the City,62311301
186,1.0,Real Bed,1.0,97.0,55.00,53.49191,-2.24075,"Modern, clean double room in city centre",66809593
187,1.0,Real Bed,1.0,87.0,35.00,53.47138,-2.2646599999999997,Private room with en suite Manchester City Centre,50851296
188,1.0,Real Bed,1.0,92.0,28.00,53.4665,-2.24873,"Feel at Home Double! Hulme, Manchester!",67168477
189,1.0,Real Bed,1.0,100.0,45.00,53.416290000000004,-2.30882,Bed & Balcony,32954691
190,1.0,Real Bed,1.0,97.0,19.00,53.48947,-2.20879,Unique Loft Bed. Only 5 Mins from Piccadilly!,35311832
191,1.0,Real Bed,1.0,99.0,25.00,53.403490000000005,-2.18011,Single room near Stockport train st,62939817
192,1.0,Real Bed,1.0,100.0,17.00,53.509730000000005,-2.16385,Bright & clean room in Manchester.,8571569
193,1.0,Real Bed,1.0,95.0,28.00,53.42997,-2.2371,Huge Kingsize Bedroom in Fashionable West Didsbury,6974604
194,1.0,Real Bed,1.0,97.0,38.00,53.450019999999995,-2.22632,Brand New Refurbished House,69416014
195,1.0,Real Bed,1.0,89.0,28.00,53.46849,-2.24966,Comfort west view double room,22646922
196,1.0,Real Bed,1.0,98.0,47.00,53.4897,-2.23985,★CityCentre Room|Private bathroom|Walk Everywhere★,2307720
197,1.0,Real Bed,1.0,100.0,40.00,53.42876999999999,-2.24822,Top Flr Apt w/Balcony Burton Rd West Didsbury Mcr,27726113
198,1.0,Real Bed,1.0,96.0,30.00,53.39748,-2.30818,Double Room 3miles from Airport,70491510
199,1.0,Real Bed,1.0,91.0,17.00,53.48084,-2.15276,Single Room Near Ethiad Stadium,63018594
200,1.0,Real Bed,1.0,100.0,50.00,53.60495,-2.0684299999999998,Manchester from the countryside,12538933
201,1.0,Real Bed,1.0,95.0,25.00,53.49916999999999,-2.1721,"Clean, comfy double room close to city /transport",71543020
202,1.0,Real Bed,1.0,97.0,25.00,53.44169,-2.21455,"Sunny, roomy and cosy bedroom in Fallowfield",71626448
203,1.0,Real Bed,1.0,97.0,25.00,53.394369999999995,-2.15049,Private room in 120 year old Victorian semi.,71714106
204,1.0,Real Bed,1.0,96.0,25.00,53.45618,-2.2322900000000003,Room in a friendly & a safe home in Manchester gw,50602671
205,1.0,Real Bed,1.0,100.0,15.00,53.526430000000005,-2.40827,Highspec room with garden in friendly houseshare,39466359
206,1.0,Real Bed,1.0,93.0,28.00,53.39931,-2.306,Cosy Single Room 3miles to Airport,70491510
207,1.0,Real Bed,1.0,96.0,28.00,53.39751999999999,-2.3075200000000002,Small Double 3 Miles from Airport,70491510
208,1.0,Real Bed,1.0,99.0,35.00,53.38525,-2.35902,"Superb location, Edwardian mansion house apartment",11147819
209,1.0,Real Bed,1.0,97.0,15.00,53.54821,-2.67125,"Bright, single bedroom in artist’s house",73307970
210,1.0,Real Bed,1.0,93.0,125.00,53.484719999999996,-2.29658,"MediaCity Double Room/ Free Tea, coffee and Snacks",73535097
211,1.0,Real Bed,1.0,95.0,40.00,53.48311999999999,-2.29672,Double Bedroom in Media City / Free Tea and coffee,73535097
212,1.0,Real Bed,1.0,93.0,30.00,53.525969999999994,-2.2206799999999998,Double bed(3/4) parking Heaton park,75076442
213,1.0,Real Bed,1.0,96.0,50.00,53.47804,-2.23468,Cosy room in City Centre,69498139
214,1.0,Real Bed,1.0,94.0,45.00,53.487269999999995,-2.2927299999999997,Private Double Room with links to all Manchester,27581831
215,1.0,Real Bed,1.0,98.0,50.00,53.4835,-2.23069,En suite ROOM with WIFI/ Best location,465854
216,1.0,Real Bed,1.0,100.0,22.00,53.450880000000005,-2.17771,Double room in contemporary house,23715132
217,1.0,Real Bed,1.0,100.0,25.00,53.4482,-2.2374,"Double sofa bed, bright snug room in period house",7239185
218,1.0,Real Bed,1.0,100.0,28.00,53.52854,-2.3810599999999997,"Worsley, Manchester comfortable Double room",26694554
219,1.0,Real Bed,1.0,100.0,34.00,53.64278,-2.09035,Double room in a Lovely Cottage near Countryside,72632986
220,1.0,Real Bed,1.0,100.0,40.00,53.41007,-2.22286,Double Bedroom in Exclusive Penthouse Apartment,45386310
221,1.0,Real Bed,1.0,98.0,39.00,53.44345,-2.19781,Boutique bedroom w/en-suite in beautiful house,21364293
222,1.0,Real Bed,1.0,99.0,35.00,53.48946,-2.25055,Double room in secure flat by river.,57052950
223,1.0,Real Bed,1.0,86.0,266.00,53.455909999999996,-2.21317,Modern Ensuite Room in Birchfields Guest House,10888912
224,1.0,Real Bed,1.0,99.0,20.00,53.45613,-2.14986,"Friendly Manchester welcome, Free Breakfast",31957937
225,1.0,Real Bed,1.0,96.0,30.00,53.48431,-2.2965400000000002,"Media City Single Room/ Free Tea, Coffee & Snacks",73535097
226,1.0,Real Bed,1.0,85.0,55.00,53.47316,-2.2418099999999996,Modern Double Room in City Centre,30051691
227,1.0,Real Bed,1.0,80.0,60.00,53.49114,-2.2921,"Double room with Private bath Media City, Salford",78066798
228,1.0,Real Bed,1.0,87.0,43.00,53.48744,-2.23448,Convenient Private Ensuite Double Bed Room A,80218437
229,1.0,Real Bed,1.0,100.0,29.00,53.48284,-2.15197,Cosy Double Room + Optional Airport Collection,31022367
230,1.0,Real Bed,1.0,80.0,35.00,53.47664,-2.26113,Manchester City Centre Apartment,81091401
231,1.0,Real Bed,1.0,96.0,35.00,53.428169999999994,-2.26068,Double Bedroom (En Suite) Chorlton,9845237
232,1.0,Real Bed,1.0,94.0,42.00,53.47534,-2.2372900000000002,Modern Ensuite Room in City Centre,61393096
233,1.0,Real Bed,1.0,98.0,29.00,53.427980000000005,-2.27113,Fabulous room in Manchester,12042175
234,1.0,Real Bed,1.0,98.0,23.00,53.410419999999995,-2.29744,Home Sweet Home 1   cosy single room Mcr airport,75579640
235,1.0,Real Bed,1.0,96.0,20.00,53.45451,-2.19043,Single Bedroom a good sized 9 feet * 7 feet,73637877
236,1.0,Real Bed,1.0,96.0,40.00,53.45964,-2.2619599999999997,Beautiful room near to Universities & centre,14242283
237,1.0,Real Bed,1.0,96.0,26.00,53.433,-2.2330200000000002,Bright double room  close to tram and local shops,17357510
238,1.0,Real Bed,1.0,96.0,39.00,53.48457,-2.2364599999999997,"Central location, private bathroom - women only",11011740
239,1.0,Real Bed,1.0,100.0,16.00,53.531459999999996,-2.2154,Cosy Single Room,21372037
240,1.0,Real Bed,1.0,100.0,49.00,53.38006,-2.3595099999999998,Room - stunning victorian building,54935077
241,1.0,Real Bed,1.0,91.0,20.00,53.51331,-2.34367,Comfy flat with park and all amenities close by,83656618
