id,title,coins,danmakus,follow,views,score,score_count,tags,long_review_count,short_review_count,state,ep,timestamp
2673,我的脑内选项正在全力妨碍学园恋爱喜剧,76619,1088745,1422537,40898212,9.4,6587,搞笑 校园 恋爱 ,34,2281,2,10,1583383972
3287,火影忍者 疾风传,324100,2501486,1416684,110649898,9.7,10745,热血 战斗 漫画改 架空 ,65,3577,2,57,1583383972
2725,K RETURN OF KINGS,118986,1136406,1393388,63409730,9.2,3825,奇幻 战斗 声控 原创 ,26,1170,2,13,1583383972
809,妖狐×仆SS,38749,492674,1389175,13927358,9.6,4219,奇幻 少女 恋爱 ,27,1391,2,12,1583383972
688,邻座的怪同学,85187,1052032,1360917,34890432,9.6,7253,搞笑 少女 校园 ,44,2524,2,13,1583383972
28221396,实况主的逃脱游戏,132073,414450,1355237,27672059,9.3,17258,漫画改 穿越 冒险 ,51,5510,2,13,1583383972
2760,终结的炽天使 名古屋决战篇,80891,1636547,1353576,48470290,8.6,4132,奇幻 校园 战斗 ,31,1401,2,12,1583383972
439,问题儿童都来自异世界？,46690,617506,1351927,36901724,9.2,4835,奇幻 战斗 热血 架空 ,20,1499,2,10,1583383972
28221412,流汗吧！健身少女,135642,452229,1347770,29329031,9.8,15319,漫画改 日常 运动 ,28,4773,2,12,1583383972
191,请问您今天要来点兔子吗？,53948,666843,1342070,12127231,9.6,6382,萌系 日常 美食 治愈 ,26,2109,2,12,1583383972
12872,博多豚骨拉面团,86673,596735,1338855,22370470,9.7,24792,小说改 ,139,10808,2,12,1583383972
6447,鬼灯的冷彻 第二季,55846,554730,1310286,32838167,9.7,11695,搞笑 日常 神魔 漫画改 ,27,5062,2,13,1583383972
6427,Just Because!,108619,614297,1302004,20431433,9.5,20067,恋爱 原创 校园 ,272,9208,2,12,1583383972
3068,Love Live! School Idol Project,82999,1727065,1297259,17009172,9.6,6977,校园 音乐 偶像 社团 ,50,2514,2,13,1583383972
3440,鬼灯的冷彻,32082,609908,1295325,17205021,9.6,3902,日常 神魔 ,15,1250,2,13,1583383972
28222522,碧蓝航线,161205,489130,1291741,21244209,8.7,17231,游戏改 战斗 萌系 架空 ,61,7269,1,10,1583383972
5020,Rewrite,82712,1030026,1281446,30930681,8.5,2498,奇幻 校园 穿越 ,28,896,2,13,1583383972
281,甘城光辉游乐园,88876,293431,1279965,8636534,9.7,11512,日常 奇幻 励志 职场 ,47,3544,2,14,1583383972
6423,品酒要在成为夫妻后,50602,181798,1271835,30198362,9.4,9426,搞笑 恋爱 漫画改 ,27,4392,2,13,1583383972
138832,终将成为你,180031,471442,1263606,15987991,9.8,22688,恋爱 校园 漫画改 ,287,9715,2,13,1583383972
28223281,NARUTO to BORUTO THE LIVE 2019,8619,16763,1255448,1054725,9.6,581,漫画改 ,0,178,2,1,1583383972
116772,玉子市场,78322,438056,1244723,11384603,9.8,12807,萌系 少女 治愈 日常 ,57,4351,2,12,1583383972
